Optical spectroscopy readings:
Time: 15:33:32
Date: 5-8-2024
Slit width: 150 microns
Dwell time: 300 milliseconds
Start wavelength: 5021 Angstroms
End wavelength: 5055 Angstroms
Increment: 0.3 Angstroms


0300050210505500003
Begin scan:


05021.0,000001
05021.3,000000
05021.6,000000
05021.9,000000
05022.2,000000
05022.5,000001
05022.8,000001
05023.1,000002
05023.4,000002
05023.7,000000
05024.0,000000
05024.3,000000
05024.6,000002
05024.9,000000
05025.2,000000
05025.5,000000
05025.8,000000
05026.1,000001
05026.4,000001
05026.7,000002
05027.0,000001
05027.3,000001
05027.6,000003
05027.9,000000
05028.2,000000
05028.5,000001
05028.8,000000
05029.1,000000
05029.4,000000
05029.7,000001
05030.0,000000
05030.3,000002
05030.6,000000
05030.9,000001
05031.2,000000
05031.5,000000
05031.8,000000
05032.1,000000
05032.4,000001
05032.7,000000
05033.0,000001
05033.3,000015
05033.6,000372
05033.9,001910
05034.2,006109
05034.5,010079
05034.8,014210
05035.1,016804
05035.4,019469
05035.7,021056
05036.0,022528
05036.3,023754
05036.6,025560
05036.9,023831
05037.2,024359
05037.5,023418
05037.8,021562
05038.1,018845
05038.4,015713
05038.7,011651
05039.0,006931
05039.3,002872
05039.6,000437
05039.9,000040
05040.2,000002
05040.5,000004
05040.8,000002
05041.1,000002
05041.4,000002
05041.7,000001
05042.0,000002
05042.3,000001
05042.6,000001
05042.9,000001
05043.2,000000
05043.5,000000
05043.8,000000
05044.1,000000
05044.4,000000
05044.7,000001
05045.0,000003
05045.3,000001
05045.6,000001
05045.9,000000
05046.2,000000
05046.5,000000
05046.8,000004
05047.1,000002
05047.4,000003
05047.7,000002
05048.0,000000
05048.3,000000
05048.6,000002
05048.9,000000
05049.2,000001
05049.5,000000
05049.8,000001
05050.1,000000
05050.4,000002
05050.7,000000
05051.0,000002
05051.3,000000
05051.6,000000
05051.9,000002
05052.2,000002
05052.5,000002
05052.8,000003
05053.1,000000
05053.4,000001
05053.7,000000
05054.0,000001
05054.3,000003
05054.6,000002
05054.9,000000
