Optical spectroscopy readings:
Time: 14:16:37
Date: 31-7-2024
Slit width: 100 microns
Dwell time: 300 milliseconds
Start wavelength: 4356 Angstroms
End wavelength: 4368 Angstroms
Increment: 0.2 Angstroms


0300043560436800002
Begin scan:


04356.0,000025
04356.2,000029
04356.4,000020
04356.6,000020
04356.8,000026
04357.0,000027
04357.2,000033
04357.4,000033
04357.6,000041
04357.8,000050
04358.0,000066
04358.2,000087
04358.4,000204
04358.6,000622
04358.8,002303
04359.0,006227
04359.2,010902
04359.4,015781
04359.6,019412
04359.8,021972
04360.0,023757
04360.2,025297
04360.4,026104
04360.6,026777
04360.8,026400
04361.0,026030
04361.2,024683
04361.4,023031
04361.6,020746
04361.8,018493
04362.0,015401
04362.2,012298
04362.4,008812
04362.6,005697
04362.8,003378
04363.0,001806
04363.2,000808
04363.4,000405
04363.6,000194
04363.8,000089
04364.0,000056
04364.2,000038
04364.4,000035
04364.6,000023
04364.8,000018
04365.0,000029
04365.2,000031
04365.4,000020
04365.6,000022
04365.8,000021
04366.0,000015
04366.2,000015
04366.4,000014
04366.6,000021
04366.8,000007
04367.0,000016
04367.2,000013
04367.4,000009
04367.6,000008
04367.8,000016
04368.0,000015
